MR,CR,PS,GEN,NORMGENA,NORMGENB,,
0.6,0.8,80,3474,0.986104,0.9780024078,,
0.6,0.8,90,3479,0.986084,0.9752170909,,
0.6,0.8,100,2962,0.988152,0.976555531,,
0.8,0.2,10,250000,0,0.8021229829,,
0.8,0.2,20,186383,0.254468,0.7049527034,,
0.8,0.2,30,178820,0.28472,0.5753875817,,
0.8,0.2,40,180117,0.279532,0.4297437651,,
0.8,0.2,50,160985,0.35606,0.3628953682,,
0.8,0.2,60,118823,0.524708,0.4357038208,,
0.8,0.2,70,113610,0.54556,0.3705373786,,
0.8,0.2,80,107845,0.56862,0.317118499,,
0.8,0.2,90,140379,0.438484,0,,
0.8,0.2,100,123752,0.504992,0.02049293539,,
0.8,0.4,10,206044,0.175824,0.8369145116,,
0.8,0.4,20,170641,0.317436,0.7298725435,,
0.8,0.4,30,110015,0.55994,0.7387667196,,
0.8,0.4,40,85589,0.657644,0.7290224638,,
0.8,0.4,50,102892,0.588432,0.5928007592,,
0.8,0.4,60,63894,0.744424,0.6965643009,,
0.8,0.4,70,73089,0.707644,0.5950462676,,
0.8,0.4,80,57411,0.770356,0.6364698424,,
0.8,0.4,90,55428,0.778288,0.6051546171,,
0.8,0.4,100,46881,0.812476,0.6289331025,,
0.8,0.6,10,130984,0.476064,0.8963251072,,
0.8,0.6,20,95039,0.619844,0.8495517294,,
0.8,0.6,30,79335,0.68266,0.8116171222,,
0.8,0.6,40,48758,0.804968,0.8456305984,,
0.8,0.6,50,54188,0.783248,0.785548804,,
0.8,0.6,60,42997,0.828012,0.7958051655,,
0.8,0.6,70,50565,0.79774,0.7198417617,,
0.8,0.6,80,40792,0.836832,0.741702423,,
0.8,0.6,90,39980,0.84008,0.7151995669,,
0.8,0.6,100,40515,0.83794,0.6793205062,,
0.8,0.8,10,102958,0.588168,0.9185079123,,
0.8,0.8,20,57598,0.769608,0.9088214366,,
0.8,0.8,30,50899,0.796404,0.8791390925,,
0.8,0.8,40,36372,0.854512,0.8848450742,,
0.8,0.8,50,35453,0.858188,0.8596933223,,
0.8,0.8,60,34401,0.862396,0.8366279857,,
0.8,0.8,70,32884,0.868464,0.8178043408,,
0.8,0.8,80,37098,0.851608,0.7650930695,,
0.8,0.8,90,28713,0.885148,0.7954608595,,
0.8,0.8,100,31001,0.875996,0.7546245838,,
