MR,CR,POP,GEN,NORMGENA,NORMGENB
0.8,0.6,80,38729,0.8381659166,0.7190751655
0.8,0.6,90,45243,0.8109463339,0.6308033367
0.8,0.6,100,36971,0.8455119446,0.6647837519
0.8,0.8,10,137351,0.426061267,0.8754637773
0.8,0.8,20,51127,0.7863592868,0.9072862454
0.8,0.8,30,43215,0.8194205914,0.8824508115
0.8,0.8,40,33829,0.8586411938,0.8773089129
0.8,0.8,50,42769,0.8212842595,0.806106628
0.8,0.8,60,32015,0.8662212249,0.8258318977
0.8,0.8,70,30471,0.8726730265,0.8066034999
0.8,0.8,80,24905,0.8959312699,0.819348989
0.8,0.8,90,28616,0.8804243815,0.7664847221
0.8,0.8,100,27592,0.8847032965,0.7498231934
